,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[14, 2]",0.004,0.021,0.0,0.013,0.001,0.001,14.0,89.0,1.21
"p[14, 3]",0.992,0.028,0.964,1.0,0.003,0.002,13.0,58.0,1.24
"p[14, 4]",0.0,0.0,0.0,0.0,0.0,0.0,13.0,40.0,1.24
"p[14, 5]",0.0,0.0,0.0,0.0,0.0,0.0,25.0,77.0,1.14
"p[14, 6]",0.0,0.003,0.0,0.0,0.0,0.0,11.0,43.0,1.28
"p[14, 7]",0.0,0.0,0.0,0.0,0.0,0.0,53.0,107.0,1.04
"p[14, 8]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,49.0,1.18
"p[14, 9]",0.001,0.007,0.0,0.0,0.0,0.0,19.0,150.0,1.16
"p[15, 0]",0.0,0.001,0.0,0.0,0.0,0.0,10.0,36.0,1.32
"p[15, 1]",0.0,0.004,0.0,0.0,0.0,0.0,37.0,120.0,1.09
"p[15, 2]",0.98,0.049,0.919,1.0,0.003,0.002,32.0,74.0,1.11
"p[15, 3]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,1.41
"p[15, 4]",0.014,0.039,0.0,0.065,0.003,0.002,24.0,65.0,1.12
"p[15, 5]",0.001,0.011,0.0,0.001,0.001,0.0,24.0,40.0,1.13
"p[15, 6]",0.0,0.001,0.0,0.0,0.0,0.0,40.0,28.0,1.08
"p[15, 7]",0.002,0.017,0.0,0.001,0.001,0.001,65.0,117.0,1.06
"p[15, 8]",0.002,0.018,0.0,0.001,0.001,0.001,21.0,165.0,1.16
"p[15, 9]",0.001,0.007,0.0,0.0,0.0,0.0,29.0,174.0,1.12
"p[16, 0]",0.117,0.128,0.0,0.373,0.008,0.006,245.0,411.0,1.04
"p[16, 1]",0.002,0.014,0.0,0.003,0.001,0.0,35.0,214.0,1.1
"p[16, 2]",0.026,0.068,0.0,0.128,0.003,0.002,206.0,311.0,1.02
"p[16, 3]",0.004,0.018,0.0,0.014,0.001,0.001,61.0,79.0,1.05
"p[16, 4]",0.782,0.167,0.476,0.998,0.009,0.008,95.0,568.0,1.04
"p[16, 5]",0.001,0.004,0.0,0.0,0.0,0.0,5.0,24.0,2.06
"p[16, 6]",0.061,0.094,0.0,0.235,0.004,0.003,218.0,591.0,1.02
"p[16, 7]",0.004,0.02,0.0,0.014,0.001,0.001,16.0,32.0,1.19
"p[16, 8]",0.0,0.001,0.0,0.0,0.0,0.0,105.0,155.0,1.05
"p[16, 9]",0.004,0.033,0.0,0.004,0.001,0.001,45.0,214.0,1.1
"p[17, 0]",0.0,0.0,0.0,0.0,0.0,0.0,12.0,59.0,1.29
"p[17, 1]",0.005,0.042,0.0,0.002,0.002,0.001,12.0,65.0,1.3
"p[17, 2]",0.0,0.003,0.0,0.0,0.0,0.0,17.0,93.0,1.19
"p[17, 3]",0.023,0.095,0.0,0.084,0.005,0.004,27.0,150.0,1.13
"p[17, 4]",0.008,0.048,0.0,0.005,0.003,0.002,16.0,37.0,1.19
"p[17, 5]",0.0,0.004,0.0,0.0,0.0,0.0,14.0,22.0,1.24
"p[17, 6]",0.928,0.177,0.57,1.0,0.009,0.007,29.0,39.0,1.11
